	id	reference	frame	x	y	w	h
0	id00012	2DLq_Kkc1r8	6173.0	0.543	0.275	0.144	0.256
1	id00015	AD2Mmf774IU	6103.0	0.151	0.683	0.086	0.115
2	id00016	sPJ365h2rxI	7047.0	0.294	0.215	0.499	0.888
3	id00017	wrB-yyERH2s	539.0	0.352	0.207	0.341	0.606
4	id00018	bIlh8JSl3K0	375.0	0.31	0.293	0.266	0.472
5	id00019	feQf4mh32JI	1912.0	0.155	0.207	0.213	0.378
6	id00020	LXYxaCf4Agc	1279.0	0.221	0.258	0.32	0.569
7	id00021	zUAQ0hwQOlg	2478.0	0.333	0.274	0.388	0.581
8	id00022	tDi3tIVlVfM	6.0	0.273	0.121	0.325	0.578
9	id00024	zjJ4uJT90n4	975.0	0.184	0.064	0.304	0.541
10	id00025	VFN9fySPlvs	2935.0	0.308	0.278	0.116	0.206
11	id00026	5jqK2BegVjY	30881.0	0.408	0.253	0.217	0.296
12	id00027	LpOrf1JrDiI	11614.0	0.336	0.335	0.369	0.491
13	id00028	Lx3x-zz3Ddg	20598.0	0.302	0.156	0.442	0.589
14	id00029	T5adauKTAMA	1852.0	0.231	0.224	0.486	0.864
15	id00032	jx4Ubi4aJVo	7763.0	0.639	0.153	0.142	0.252
16	id00033	XCc2jOplw2s	2585.0	0.218	0.18	0.185	0.231
17	id00035	TaejKlg4LoA	14071.0	0.465	0.351	0.235	0.419
18	id00036	Q7WDEInHc60	30277.0	0.457	0.168	0.277	0.493
19	id00039	tPmXg1TWwAc	6376.0	0.213	0.369	0.11	0.196
20	id00040	7bIlV7aBZGc	2030.0	0.464	0.182	0.369	0.657
21	id00042	V3NIIuqPTg4	2900.0	0.28	0.182	0.248	0.331
22	id00043	X9e2sqHp5_E	48062.0	0.713	0.258	0.173	0.216
23	id00044	634G4gJ5Vkk	30545.0	0.411	0.278	0.268	0.477
24	id00046	9h3XRcuVI0s	6007.0	0.344	0.25	0.444	0.788
25	id00047	C3HZGa6XRN0	12808.0	0.457	0.299	0.244	0.325
26	id00049	DQ6vilfytZE	783.0	0.152	0.219	0.72	0.96
27	id00050	z-LdSMNTucI	13875.0	0.072	0.273	0.402	0.715
28	id00051	Obkxz_-LP6w	652.0	0.514	0.203	0.274	0.488
29	id00052	kG48a12T3Dk	645.0	0.422	0.234	0.12	0.16
30	id00053	irIJH0jTjHo	3097.0	0.586	0.275	0.379	0.674
31	id00055	A2S4UcKfb-Q	933.0	0.442	0.306	0.415	0.553
32	id00056	PqgDcVM0dKs	3013.0	0.195	0.109	0.271	0.481
33	id00058	8g5-4SScgQs	1675.0	0.411	0.171	0.222	0.394
34	id00059	nHdh6dsdMfE	6139.0	0.26	0.276	0.369	0.491
35	id00060	FA8YqXuskB4	885.0	0.322	0.149	0.253	0.449
36	id00061	VugwXDj1ka4	1344.0	0.235	0.165	0.336	0.598
37	id00062	EOxT9WHfsp4	13074.0	0.297	0.184	0.342	0.604
38	id00063	vZJbJ9Cmo_E	1350.0	0.524	0.25	0.22	0.391
39	id00064	kdt4Qh9XSGg	786.0	0.351	0.195	0.097	0.177
40	id00066	rKuVf-IDKWM	4832.0	0.374	0.235	0.531	0.712
41	id00067	R7KoOxEX9Pk	5793.0	0.507	0.081	0.264	0.469
42	id00068	A7uFnQw--bY	4246.0	0.305	0.118	0.33	0.586
43	id00069	oGQZzSbM0qA	8032.0	0.354	0.24	0.33	0.586
44	id00070	NxMG5hB2JBc	554.0	0.368	0.211	0.294	0.523
45	id00071	U93Hepx7P2s	983.0	0.348	0.222	0.365	0.649
46	id00073	QuHM9G-ZMxY	2009.0	0.28	0.293	0.31	0.552
47	id00074	pqj5XxoSxso	2381.0	0.369	0.117	0.474	0.842
48	id00075	Yp7VpaRaqBY	31147.0	0.357	0.152	0.288	0.512
49	id00076	w6NC_oD6C2U	5716.0	0.282	0.155	0.341	0.606
50	id00078	e4BXs56FG2k	3419.0	0.63	0.192	0.152	0.27
51	id00079	_-j0HmMsEo0	2287.0	0.438	0.232	0.233	0.414
52	id00080	0L-_A4BNm1k	6724.0	0.249	0.192	0.247	0.438
53	id00081	80uz1gAe6as	677.0	0.298	0.212	0.307	0.546
54	id00082	lXxPuqI6Yac	2546.0	0.278	0.263	0.275	0.489
55	id00083	CSvp3ekE4Eo	604.0	0.421	0.359	0.149	0.264
56	id00084	sw1_HEQPju8	2046.0	0.385	0.26	0.207	0.277
57	id00085	8J-K_XgeT_g	4775.0	0.168	0.154	0.446	0.793
58	id00086	cnhJF1zTdUk	15998.0	0.361	0.15	0.279	0.372
59	id00087	Mr7p7lDP1LI	136.0	0.267	0.23	0.417	0.741
60	id00088	Ewx8qdPyWM4	282.0	0.292	0.139	0.303	0.538
61	id00089	cFsmj-hSzcA	7439.0	0.457	0.225	0.338	0.451
62	id00090	z_LA9-5Nb2o	2167.0	0.523	0.111	0.299	0.532
63	id00091	TKMoaawdP3c	8730.0	0.44	0.101	0.328	0.491
64	id00092	PyxoYue4Tlw	719.0	0.145	0.14	0.284	0.379
65	id00096	BUwCMZ1hAB8	1451.0	0.388	0.101	0.203	0.362
66	id00097	dlzxhM5zJhg	5543.0	0.439	0.171	0.206	0.367
67	id00098	M7J2k9MeefM	582.0	0.214	0.311	0.252	0.336
68	id00099	pSH7iAXB3rI	1640.0	0.35	0.081	0.114	0.202
69	id00100	tIq_jyTTyCY	1212.0	0.235	0.148	0.199	0.353
70	id00103	a_a1-SROe6s	12917.0	0.113	0.293	0.281	0.499
71	id00104	_rsXwcPmBPs	76.0	0.436	0.212	0.318	0.567
72	id00105	T6YXijkIXhw	3589.0	0.355	0.225	0.344	0.611
73	id00109	QP-PaJYGpok	8353.0	0.343	0.23	0.334	0.594
74	id00111	gZU9TlbVZW0	4250.0	0.367	0.189	0.302	0.537
75	id00114	f0FdD5_F2j4	1670.0	0.25	0.21	0.176	0.235
76	id00116	UmkgH-xbnbY	1518.0	0.467	0.259	0.324	0.577
77	id00117	tjBTcn9nysY	1494.0	0.38	0.268	0.233	0.414
78	id00126	T3iPR0T8SJc	3416.0	0.335	0.144	0.238	0.423
79	id00127	kO4_Gok8E6Y	2526.0	0.248	0.152	0.34	0.605
80	id00128	6j8uRGW7o04	918.0	0.37	0.257	0.307	0.46
81	id00129	yB82Acj5hV0	7219.0	0.308	0.231	0.217	0.347
82	id00134	_vcyG-w8kKw	4893.0	0.398	0.093	0.433	0.578
83	id00137	VlHMfyKqHBc	5095.0	0.408	0.196	0.218	0.29
84	id00144	JQ0iMulicgg	10608.0	0.406	0.162	0.163	0.289
85	id00145	FCVMVltWxc0	2179.0	0.512	0.162	0.274	0.488
86	id00146	zjRfO_Od1gk	7246.0	0.231	0.141	0.331	0.442
87	id00149	w3uJQbx9MnE	9757.0	0.21	0.291	0.285	0.389
88	id00151	M7QqbaQWQWQ	1144.0	0.21	0.255	0.584	0.731
89	id00154	x1n5gUFgA3Y	6856.0	0.612	0.284	0.239	0.435
90	id00155	pYGF31XmKnM	107.0	0.404	0.357	0.115	0.205
91	id00159	gsBT6fxIbGE	23241.0	0.362	0.234	0.379	0.505
92	id00161	EpUREp5EblI	408.0	0.321	0.186	0.215	0.383
93	id00163	57_5yAwCdIo	42556.0	0.616	0.244	0.163	0.217
94	id00164	1jBLIOdf57o	10115.0	0.246	0.295	0.106	0.188
95	id00165	8WmMnkFzyvo	2577.0	0.673	0.145	0.22	0.391
96	id00166	QEoiwynvx-c	432.0	0.192	0.311	0.157	0.279
97	id00167	P_VHtM4imGo	2190.0	0.302	0.17	0.461	0.615
98	id00168	NrltBh4Oy_c	8593.0	0.334	0.143	0.302	0.537
99	id00169	ndGsShmCgdY	1921.0	0.164	0.251	0.481	0.859
100	id00170	zs1uT2I_zDo	11512.0	0.33	0.221	0.429	0.572
101	id00171	PpFQPVu6jQw	677.0	0.447	0.247	0.323	0.574
102	id00172	8RHzCUAlWDA	2320.0	0.378	0.171	0.216	0.384
103	id00173	sAy2CLUHEDI	7074.0	0.63	0.385	0.286	0.509
104	id00175	gRaUjUMgJKg	522.0	0.465	0.116	0.272	0.483
105	id00176	CQdnKv46L2k	591.0	0.297	0.144	0.347	0.617
106	id00177	p9smaWrCKFs	369.0	0.384	0.227	0.294	0.393
107	id00179	LYOH3hSi3dE	1167.0	0.276	0.205	0.349	0.621
108	id00180	fzOeTqM6rAA	203.0	0.273	0.216	0.453	0.806
109	id00181	OQTnLNCz2cQ	12817.0	0.43	0.142	0.319	0.567
110	id00183	uk05tyYPpiU	8.0	0.464	0.085	0.1	0.178
111	id00184	kcJreQpVpek	5754.0	0.361	0.166	0.293	0.52
112	id00185	LU68zzf95eY	406.0	0.251	0.058	0.397	0.705
113	id00186	iqmEgFNx0Wc	2628.0	0.262	0.222	0.251	0.446
114	id00187	Omq3jQUPrdk	3453.0	0.401	0.155	0.367	0.653
115	id00188	_2lMGqkb_z0	653.0	0.256	0.398	0.207	0.31
116	id00189	Lj5Z8vMbSSY	3516.0	0.531	0.156	0.265	0.472
117	id00190	oZUSqqG9wu4	534.0	0.269	0.156	0.338	0.601
118	id00191	j1Fr570xYh0	36764.0	0.179	0.186	0.185	0.247
119	id00192	3hSd4TT_Ihk	802.0	0.394	0.255	0.315	0.56
120	id00195	6VUcCaNmjZo	783.0	0.486	0.154	0.421	0.562
121	id00197	weWZ2MMijnI	4051.0	0.165	0.117	0.462	0.616
122	id00198	FQfPqUE7nSc	2989.0	0.368	0.137	0.252	0.447
123	id00201	3GzxqBaDQjk	923.0	0.557	0.274	0.138	0.246
124	id00202	KVHJiPQ5h2I	2558.0	0.364	0.266	0.152	0.277
125	id00203	5G_uBolhF0k	10846.0	0.319	0.167	0.387	0.532
126	id00206	ZR5BGRsQvlc	564.0	0.274	0.35	0.317	0.564
127	id00220	Jh7I7UKe3aE	5887.0	0.391	0.194	0.191	0.34
128	id00221	k-P-8iAr2PA	1113.0	0.234	0.26	0.417	0.742
129	id00222	4GNKNF5_PiM	1093.0	0.42	0.233	0.348	0.619
130	id00223	9S8pHQgUDJw	36582.0	0.296	0.231	0.3	0.4
131	id00225	iYgCgHuC_Vg	4472.0	0.281	0.166	0.362	0.443
132	id00231	P2NQAhJcGbU	5194.0	0.339	0.249	0.231	0.41
133	id00232	WxE8WyVB8Io	3345.0	0.38	0.226	0.34	0.605
134	id00234	NPax_mB4Yw8	2321.0	0.459	0.093	0.233	0.414
135	id00235	n3Zjf9J2VjY	3354.0	0.352	0.269	0.25	0.342
136	id00236	KzCRJf1Tafs	1947.0	0.455	0.123	0.126	0.225
137	id00238	85seDrFFy7M	2608.0	0.372	0.059	0.297	0.527
138	id00239	KhXaPrSO1QA	8833.0	0.285	0.174	0.28	0.498
139	id00241	05d7_SJTEWw	79.0	0.416	0.227	0.436	0.777
140	id00242	3-onTTDzJ84	1307.0	0.238	0.123	0.279	0.496
141	id00243	Wl1ucTD1gqo	109.0	0.215	0.172	0.317	0.563
142	id00244	hqE1mX1V99k	396.0	0.522	0.137	0.338	0.601
143	id00245	IzCbtMXuyWo	2829.0	0.274	0.183	0.39	0.52
144	id00246	mcGST8cNYQ4	22446.0	0.305	0.2	0.185	0.328
145	id00249	DPB_EMquBbE	7036.0	0.177	0.044	0.611	0.815
146	id00251	JMia0REDFyQ	1320.0	0.609	0.205	0.224	0.399
147	id00253	GmmX5prnBdY	1160.0	0.636	0.259	0.136	0.242
148	id00254	rfrLawyNGG0	2376.0	0.338	0.147	0.358	0.636
149	id00255	HUibDibXfUI	2282.0	0.289	0.133	0.529	0.941
150	id00257	9EkqE8CjRko	1308.0	0.582	0.266	0.201	0.357
151	id00258	VqoqNJxhJeQ	5702.0	0.423	0.191	0.358	0.637
152	id00259	KB8QrPZHU0U	5346.0	0.341	0.228	0.331	0.589
153	id00261	CW8WxZX3eaA	6055.0	0.476	0.074	0.285	0.507
154	id00262	bP2bPCKb6UU	5048.0	0.377	0.102	0.358	0.637
155	id00264	K6cZ8yo1_tY	428.0	0.473	0.174	0.274	0.488
156	id00265	_rwf58rgPXI	1785.0	0.562	0.163	0.261	0.464
157	id00266	Gbrd41Kum-A	4806.0	0.285	0.162	0.481	0.856
158	id00268	Yptm4KWebaI	3683.0	0.573	0.245	0.183	0.325
159	id00269	qstQFZicE8Q	574.0	0.6	0.214	0.197	0.349
